Date,Average Temperature,Year
1949-01-01,8.58675,1949
1950-01-01,8.36525,1950
1951-01-01,8.625666666666666,1951
1952-01-01,8.63825,1952
1953-01-01,8.87375,1953
1954-01-01,8.560666666666666,1954
1955-01-01,8.62625,1955
1956-01-01,8.279583333333333,1956
1957-01-01,8.7325,1957
1958-01-01,8.77375,1958
1959-01-01,8.732666666666667,1959
1960-01-01,8.58375,1960
1961-01-01,8.797666666666666,1961
1962-01-01,8.745916666666666,1962
1963-01-01,8.856,1963
1964-01-01,8.409666666666666,1964
1965-01-01,8.527416666666666,1965
1966-01-01,8.599333333333332,1966
1967-01-01,8.700083333333334,1967
1968-01-01,8.516333333333334,1968
1969-01-01,8.595083333333333,1969
1970-01-01,8.700916666666666,1970
1971-01-01,8.59925,1971
1972-01-01,8.499583333333332,1972
1973-01-01,8.94825,1973
1974-01-01,8.4675,1974
1975-01-01,8.744833333333334,1975
1976-01-01,8.34725,1976
1977-01-01,8.85025,1977
1978-01-01,8.69275,1978
1979-01-01,8.733416666666667,1979
1980-01-01,8.980333333333332,1980
1981-01-01,9.165833333333333,1981
1982-01-01,8.639166666666666,1982
1983-01-01,9.028166666666666,1983
1984-01-01,8.691833333333333,1984
1985-01-01,8.658,1985
1986-01-01,8.833583333333333,1986
1987-01-01,8.994416666666666,1987
1988-01-01,9.201583333333334,1988
1989-01-01,8.921999999999999,1989
1990-01-01,9.234166666666667,1990
1991-01-01,9.179416666666667,1991
1992-01-01,8.836583333333333,1992
1993-01-01,8.866583333333333,1993
1994-01-01,9.03875,1994
1995-01-01,9.347083333333332,1995
1996-01-01,9.038916666666667,1996
1997-01-01,9.202583333333333,1997
1998-01-01,9.522666666666668,1998
1999-01-01,9.285083333333334,1999
2000-01-01,9.201166666666667,2000
2001-01-01,9.414583333333333,2001
2002-01-01,9.570416666666667,2002
2003-01-01,9.525583333333334,2003
2004-01-01,9.324583333333333,2004
2005-01-01,9.700916666666666,2005
2006-01-01,9.5325,2006
2007-01-01,9.732166666666666,2007
2008-01-01,9.43175,2008
2009-01-01,9.50525,2009
2010-01-01,9.703083333333334,2010
2011-01-01,9.516,2011
2012-01-01,9.507333333333333,2012
2013-01-01,9.6065,2013
2014-01-01,9.570666666666666,2014
2015-01-01,9.831000000000001,2015
2016-01-01,9.109930992126465,2016
2017-01-01,9.225951194763184,2017
2018-01-01,8.993967056274414,2018
2019-01-01,9.098114013671875,2019
2020-01-01,9.016877174377441,2020
2021-01-01,8.940437316894531,2021
2022-01-01,9.032365798950195,2022
2023-01-01,9.13101577758789,2023
2024-01-01,9.239776611328125,2024
2025-01-01,9.128762245178223,2025
2026-01-01,9.22850513458252,2026
2027-01-01,9.25581169128418,2027
2028-01-01,9.07497787475586,2028
2029-01-01,9.04825210571289,2029
2030-01-01,9.147699356079102,2030
2031-01-01,9.311558723449707,2031
2032-01-01,9.19904613494873,2032
2033-01-01,9.221824645996094,2033
2034-01-01,9.406254768371582,2034
2035-01-01,9.327495574951172,2035
2036-01-01,9.243494033813477,2036
2037-01-01,9.343996047973633,2037
2038-01-01,9.447530746459961,2038
2039-01-01,9.43544864654541,2039
2040-01-01,9.328262329101562,2040
2041-01-01,9.481647491455078,2041
2042-01-01,9.459006309509277,2042
2043-01-01,9.513439178466797,2043
2044-01-01,9.405288696289062,2044
2045-01-01,9.393173217773438,2045
2046-01-01,9.509739875793457,2046
2047-01-01,9.442617416381836,2047
2048-01-01,9.405941009521484,2048
2049-01-01,9.460607528686523,2049
2050-01-01,9.456404685974121,2050
